Feature,Importance
total_trafico,0.4247247584147299
origen_negociacion,0.12517790684526944
origen_contacto,0.11390343103944252
cc,0.05382463947197014
organic_search,0.04839641526679357
showroom,0.035021559270239984
campaign_cod,0.03438037199779894
campania_codificada,0.026002837486985664
codigo_concesionario_origen,0.020932503460083986
config,0.01786882887364312
dif_days_group,0.016670031903680146
channel_max,0.01149500743829468
cod_oferta,0.010935170649592487
identificador_oferta,0.01078095841723227
PRODUCT_CODE_TRAFICO,0.010467051829258452
codigo_producto,0.008694093388171533
vendedor_codificado_final,0.008548775256017884
paid_search_group,0.008304510190020794
codigo_tienda,0.005209716646533291
codigo_exposicion,0.005115662240860659
Max_Mosaic_G,0.003545769913380608
