Week,Mimarca
2022-01-02,30
2022-01-09,44
2022-01-16,51
2022-01-23,57
2022-01-30,40
2022-02-06,43
2022-02-13,39
2022-02-20,34
2022-02-27,40
2022-03-06,38
2022-03-13,42
2022-03-20,46
2022-03-27,39
2022-04-03,30
2022-04-10,32
2022-04-17,37
2022-04-24,32
2022-05-01,36
2022-05-08,31
2022-05-15,32
2022-05-22,30
2022-05-29,29
2022-06-05,33
2022-06-12,46
2022-06-19,41
2022-06-26,27
2022-07-03,31
2022-07-10,26
2022-07-17,56
2022-07-24,60
2022-07-31,60
2022-08-07,51
2022-08-14,56
2022-08-21,53
2022-08-28,39
2022-09-04,26
2022-09-11,40
2022-09-18,20
2022-09-25,27
2022-10-02,44
2022-10-09,65
2022-10-16,74
2022-10-23,81
2022-10-30,80
2022-11-06,79
2022-11-13,75
2022-11-20,69
2022-11-27,70
2022-12-04,70
2022-12-11,75
2022-12-18,74
2022-12-25,88
2023-01-01,83
2023-01-08,81
2023-01-15,84
2023-01-22,83
2023-01-29,88
2023-02-05,84
2023-02-12,100
2023-02-19,92
2023-02-26,93
2023-03-05,93
2023-03-12,91
2023-03-19,90
2023-03-26,88
2023-04-02,86
2023-04-09,84
2023-04-16,89
2023-04-23,80
2023-04-30,80
2023-05-07,77
2023-05-14,77
2023-05-21,76
2023-05-28,75
2023-06-04,75
2023-06-11,81
2023-06-18,80
2023-06-25,79
2023-07-02,81
2023-07-09,82
2023-07-16,83
